sample.id,TSNE 1,TSNE_2
BE-001,-0.8698371,-29.28983
BE-003,-18.574196,15.916348
BE-004,47.278088,-5.568763
BE-005,-23.021715,14.301974
BE-007,24.94164,-33.984863
BE-008,41.677273,-28.694984
BE-009,-47.85547,9.014885
BE-011,5.015056,40.967678
BE-013,7.859085,26.909245
BE-014,43.395267,-16.030508
BE-015,52.013012,2.1735134
BE-016,43.428143,-32.575832
BE-021,5.5139947,-33.86835
BE-026,41.280346,15.142887
BE-027,40.092957,38.13831
BE-031,59.20433,-6.749655
BE-035,-32.560627,47.339565
BE-038,-31.379885,47.99095
BE-044,9.570319,40.106937
BE-045,30.10704,-16.466871
BE-046,6.154607,39.78126
BE-048,-40.042213,13.02901
BE-049,62.137955,-30.299913
BE-052,14.133682,31.024908
BE-053,50.52447,-31.462402
BE-054,-30.200212,-30.753702
BE-055,-43.683556,-3.2197533
BE-056,-25.231028,0.85707444
BE-057,15.084668,-11.512532
BE-059,10.346286,24.51477
BE-061,47.163414,-2.6559086
BE-065,-26.892931,-49.532246
BE-066,-21.613958,-53.26048
BE-067,48.23394,-0.68273085
BE-070,52.373646,-19.841429
BE-073,-39.01564,5.128905
BE-074,-4.61397,-36.418594
BE-077,-12.377205,47.53475
BE-080,45.737686,-31.352242
BE-082,-39.40712,-8.36956
BE-087,-7.714039,40.83381
BE-090,-39.62589,-9.731452
BE-091,51.596504,-32.77289
BE-095,-27.948034,-29.7152
BE-096,44.87047,-27.93249
BE-100,-40.909687,4.801495
BE-101,33.461555,-9.737821
BE-106,22.198875,-6.266008
BE-113,11.346228,37.37129
BE-117,58.026604,2.432959
BE-119,-13.147273,-17.689064
BE-122,-45.33832,-6.102319
BE-124,3.0627804,28.336641
BE-127,30.06965,-13.436941
BE-128,43.9506,-28.135996
BE-133,46.20344,-26.950289
BE-134,20.58643,-9.115656
BE-140,25.056744,17.860516
BE-141,10.336352,33.448875
BE-142,-21.742746,40.534706
BE-149,-50.503292,6.566494
BE-150,-26.659126,39.948627
BE-153,7.971076,30.98866
BE-162,-65.10805,6.17734
BE-163,2.5613713,-39.90521
BE-164,-51.239113,12.479476
BE-170,-12.002545,28.294949
BE-171,5.510038,-15.7689
BE-172,-28.12382,38.457256
BE-174,8.123853,-36.868256
BE-182,43.519615,26.9974
BE-193,21.01094,43.2864
BS-001,-4.9589686,-11.373178
BS-003,-26.378775,-27.054058
BS-005,-23.995598,45.09187
BS-008,-14.838491,28.61705
BS-015,-19.411608,27.996716
BS-022,-29.22925,-31.461359
BS-051,-22.060158,-34.020966
BS-053,-61.022785,-6.2212777
BS-059,6.6570964,31.867804
BS-064,-25.794641,-30.31181
BS-066,6.6751213,26.80751
BS-068,-20.994162,40.305813
BS-080,52.265182,-31.223679
CH-055,-15.206763,27.486574
CH-056,-14.1040535,2.6298602
CH-057,11.830117,16.914143
CH-058,35.495113,19.76196
CH-059,8.894384,-44.115696
CH-064,-29.476753,-37.71706
CH-065,5.7735143,41.53948
CH-066,56.035103,-7.8117504
CH-067,7.0220575,-35.2031
CH-069,57.586525,-6.511201
CH-071,22.32634,10.232127
CH-072,56.981964,-3.742191
CH-075,56.387474,-8.526751
CH-080,55.364624,-10.801741
GE-002,-43.26265,34.085155
GE-015,7.2355046,30.444431
GE-016,10.961066,-26.198967
GE-017,-35.842575,40.80545
GE-018,13.8759575,21.123344
GE-019,40.559505,18.343708
GE-020,46.709152,-21.64845
GE-021,58.697083,-15.515717
GE-022,12.671851,44.53525
GE-023,-10.401471,-1.2311684
GE-024,-34.54362,40.047886
GE-025,-44.156357,-7.892625
GE-030,53.517746,4.5825853
GE-031,-17.601791,-41.766296
GE-032,33.271877,21.585356
GE-038,40.923523,16.352463
GE-041,26.775202,12.451788
GE-044,-50.63816,11.938103
GE-048,-18.344233,-0.5291568
GE-054,0.2725305,-39.285732
GE-056,-17.71995,46.17535
GE-062,-21.130402,15.695877
GE-076,9.910963,-43.44563
GE-080,11.850832,23.274912
LAU-001,24.229315,11.173739
LAU-002,-24.525612,10.602628
LAU-004,22.512619,11.316115
LAU-005,-9.705451,42.30741
LAU-006,20.047358,42.271748
LAU-010,56.370373,2.7299037
LAU-011,3.4591382,41.040306
LAU-014,41.694267,14.095731
LAU-019,42.131706,-23.158907
LAU-020,-11.617249,-18.127708
LAU-024,53.466057,5.3343477
LAU-025,-19.925383,-0.31738296
LAU-028,16.493946,-37.270668
LAU-032,-49.08157,7.7972617
LAU-033,39.995174,-29.631521
LAU-036,-52.975765,-3.2410214
LAU-038,12.802669,-38.35513
LAU-040,-7.7488294,-30.363472
LAU-042,-9.403558,-30.507181
LAU-043,21.237206,12.395418
LAU-044,-30.196997,-37.12692
LAU-047,0.1472056,-30.890907
LAU-049,46.603558,-3.4879558
LAU-052,-73.08465,11.406693
LAU-053,-37.08607,-1.7672577
LAU-054,1.7573206,26.942621
LAU-055,15.49417,30.767921
LAU-058,-52.56429,-4.3898697
LAU-059,12.386482,43.503147
LAU-061,0.5918309,0.44128436
LAU-064,10.5265875,-42.857765
LAU-066,10.547495,40.06292
LAU-067,-54.322903,-2.426343
LAU-071,-23.127634,-49.594437
LAU-072,-25.622759,-29.139992
LAU-073,44.122078,29.867203
LAU-074,40.801014,38.487442
LAU-076,-22.239338,-48.444214
LAU-078,-22.744827,-36.301826
LAU-089,-10.757244,0.1654414
LAU-093,19.248627,7.882535
LAU-097,32.27354,-14.51986
LAU-100,-6.5006156,-30.168772
LAU-101,63.112385,-28.90637
LAU-102,-38.868195,-7.201562
LAU-108,-15.251602,46.66008
LAU-113,15.415082,39.653862
LAU-123,-0.39344543,-28.100662
LAU-124,-19.628063,-42.72371
LAU-125,-24.899359,-37.75798
LAU-128,19.980598,8.30277
LAU-137,21.102015,-36.046307
LAU-138,-38.412163,-20.803112
LAU-142,-23.688475,-46.843086
LAU-144,51.244343,1.8298888
LAU-155,-19.755161,-41.76337
LAU-156,25.29986,18.585709
LAU-158,-2.2983122,-29.614685
LAU-159,16.052908,-36.558903
LAU-161,5.998688,-15.174269
LAU-176,44.7976,-18.666513
LAU-179,45.42819,-3.5078568
LAU-184,46.622707,-18.349005
LAU-185,-19.995754,-33.556183
LAU-188,9.4179,-29.917189
LAU-189,-17.397825,-33.07849
LAU-191,30.725586,-17.594524
SG-002,15.476412,-12.671609
SG-004,-23.25587,-3.4294155
SG-008,-21.100481,-48.080437
SG-010,60.37436,-29.515667
SG-013,20.162485,-36.29357
SG-014,45.246468,-32.444973
SG-016,-14.5117855,30.517347
SG-018,-61.768307,-5.984174
SG-019,-14.145308,31.35526
SG-022,-18.746971,-49.716557
SG-023,13.132276,21.43614
SG-026,-64.18703,-5.4061294
SG-027,-2.816762,-8.632468
SG-028,5.157706,-34.69781
SG-029,-5.6944385,-12.044286
SG-030,38.09295,24.26308
SG-034,52.519787,-30.399519
SG-036,38.305916,-8.459596
SG-037,-71.22786,-12.549862
SG-038,51.288902,-36.272575
SG-041,-2.8081338,-37.690353
SG-044,36.483532,-9.17793
SG-045,46.104546,-33.7444
SG-047,-25.617342,-32.824856
SG-048,6.998109,2.0479088
SG-049,7.5266857,-34.289677
SG-052,51.873135,-22.859247
SG-053,4.6211596,-4.143812
SG-058,52.206142,-23.681591
SG-059,6.069627,3.3656728
SG-060,16.512651,30.639658
SG-061,61.915993,-28.120125
SG-062,12.05596,17.550392
SG-063,-71.93714,-7.7567697
