sample.id,TSNE 1,TSNE_2
LAU-159,6.9785213,-0.9009085
LAU-161,5.456659,-3.5486228
LAU-176,0.2994599,-9.540617
LAU-179,1.7316045,-10.051207
LAU-184,0.95104617,-9.99053
LAU-185,4.605448,-0.82660943
LAU-188,4.1264815,0.7352738
LAU-189,6.6248226,-8.909578
LAU-191,11.079998,-0.29896456
SG-002,-1.2144867,7.424322
SG-004,-1.2481381,5.950976
SG-008,7.4370656,1.8529814
SG-010,3.8766212,-12.252502
SG-013,6.840445,-3.748532
SG-014,5.8243103,-8.346051
SG-016,-10.283111,-3.1584013
SG-018,1.6534395,1.1959221
SG-019,-10.603102,-4.751351
SG-022,5.334007,-2.61299
SG-023,3.5548139,-3.7543087
SG-026,-1.9474901,13.740689
SG-027,-12.32217,-1.6971668
SG-028,9.833356,-0.099560514
SG-029,4.981709,4.615936
SG-030,-5.317228,-5.203355
SG-034,3.9580488,-11.500152
SG-036,-1.6772717,-3.3940208
SG-037,-0.7774625,11.250872
SG-038,6.476794,-6.919905
SG-041,8.751605,3.5898721
SG-044,-0.671374,-5.1279306
SG-045,5.681008,-10.170709
SG-047,4.9218135,1.1911334
SG-048,-12.40264,-0.56521684
SG-049,8.216492,-0.6559955
SG-052,2.8837903,-11.571585
SG-053,-8.88012,-0.23030376
SG-058,3.3631775,-11.495711
SG-059,3.1447663,2.6298099
SG-060,-4.8188386,-0.49383128
SG-061,2.8813422,-12.08435
SG-062,4.5980916,-5.126702
SG-063,-1.3855523,13.704938
SG-064,4.793972,-7.3599157
SG-073,2.5807202,-12.811984
SG-075,10.516872,-1.9403212
SG-084,7.350832,-2.0066476
SG-090,4.825166,-3.9448078
SG-094,1.2194773,-7.4114246
SG-095,4.155875,1.1450324
SG-096,1.3183136,-8.422258
SG-099,-0.803342,-8.444674
SG-101,0.32388666,4.35539
SG-102,3.1656888,2.232574
SG-104,5.344969,-9.34286
SG-110,5.9727187,3.901004
SG-112,8.655226,-3.6625237
SG-114,6.0984225,-0.6613102
SG-115,-3.681801,6.2619114
SG-117,-11.38801,-2.0344338
SG-125,6.5994415,-0.08775063
SG-126,-0.6206417,5.3073034
SG-128,6.231839,3.0605443
SG-132,0.18324979,6.7546177
SG-135,1.9700627,-12.315603
ZH-001,-9.48899,-3.2073603
ZH-002,7.2949367,5.016237
ZH-003,-9.847457,1.3258275
ZH-005,-7.0247025,2.8166924
ZH-007,1.0962199,8.624386
ZH-008,-3.7497005,3.4473145
ZH-009,3.3716252,-12.821944
ZH-011,1.0748049,7.9001393
ZH-012,-7.571084,-5.1916566
ZH-013,-2.117071,-5.949273
ZH-014,2.4514408,-10.82412
ZH-015,-3.5484333,13.475354
ZH-017,2.6775303,-10.8661375
ZH-018,2.3537986,-12.290952
ZH-019,4.066331,-8.23906
ZH-021,-3.2827234,12.573385
ZH-022,-2.5254242,11.376776
ZH-026,-0.3961207,10.533025
ZH-029,-1.6274164,4.489469
ZH-030,-3.284229,8.674418
ZH-032,-5.8572865,-3.6753812
ZH-033,-2.640252,4.9442163
ZH-034,-0.51600266,5.4080334
ZH-035,-3.5966694,-7.870369
ZH-038,-11.062163,-1.508986
ZH-039,-8.598395,1.1884575
ZH-040,-8.785506,-2.1260006
ZH-042,-3.0194328,9.989125
ZH-043,-2.9252393,8.641832
ZH-045,-4.907856,2.71218
ZH-048,-4.468684,-6.7865043
ZH-050,-9.3087635,0.6096688
ZH-051,-0.80387306,-5.281644
ZH-052,-2.9875097,1.0644078
ZH-053,-0.2784173,12.06404
ZH-054,-0.6698545,11.8736315
ZH-055,2.2659755,7.329533
ZH-057,0.76838684,-9.387205
ZH-058,-4.42963,2.3305047
ZH-061,-1.1051667,3.3685734
ZH-062,-4.1531706,7.928198
ZH-064,2.142592,-9.469494
ZH-065,0.31110018,6.971189
ZH-066,-2.0249639,5.0247393
ZH-067,1.3195454,6.685083
ZH-068,-4.816438,-2.625288
ZH-069,-11.641426,-3.2187362
ZH-071,-1.574202,11.71226
ZH-072,-3.9910803,8.371635
ZH-074,2.1333451,0.4892361
ZH-075,-2.4907656,10.180588
ZH-076,-4.700015,13.523757
ZH-078,-8.704786,-0.24220416
ZH-079,-3.383186,9.601686
ZH-080,-0.42085767,8.393426
ZH-081,4.803382,3.2379472
ZH-082,-7.690037,-2.8559325
ZH-083,3.7763624,4.0198627
ZH-084,-4.170995,8.397494
ZH-085,-1.131719,10.773081
ZH-091,-4.320106,-3.753941
ZH-094,-12.3881645,-0.49389687
ZH-095,-5.3172493,2.644021
ZH-096,4.0777984,-4.579073
ZH-098,5.195924,0.7118934
ZH-103,2.7288492,-13.9686365
ZH-104,3.5954769,-12.044468
ZH-105,1.443824,5.8296022
ZH-106,-3.1720502,-4.9596395
ZH-107,-2.2566512,10.889333
ZH-108,-5.9981713,3.6130753
ZH-110,10.33657,-0.44142428
ZH-111,-4.705025,-4.8790994
ZH-114,-0.08205028,7.807463
ZH-115,-1.4629827,5.491997
ZH-116,-4.212313,9.902622
ZH-117,-3.8900638,-2.7823591
ZH-120,-2.7729402,12.564801
ZH-123,-7.793453,1.9792712
ZH-126,-1.3722392,-4.3515606
ZH-128,-2.9149344,7.6463532
ZH-131,1.793871,-11.331331
ZH-133,-5.7400084,-2.0147483
ZH-135,-5.325007,2.0674992
ZH-138,-1.4543064,2.1492822
ZH-139,-4.664751,14.328392
ZH-142,2.3362398,1.5293857
ZH-143,-4.1960335,-1.8409588
ZH-149,-3.0946746,13.694328
ZH-151,-4.7267118,8.7086115
ZH-154,-5.0015106,-6.6361933
ZH-155,-1.4967128,-7.514148
ZH-163,-1.2663842,4.7106404
ZH-167,8.166875,-1.3488209
ZH-170,-7.337292,-1.9001243
ZH-171,-8.409166,2.35796
ZH-172,-2.161171,13.403362
ZH-173,-3.3260193,-1.6657871
ZH-175,6.088142,-4.204281
ZH-177,10.975536,-1.1307524
ZH-178,-9.267461,-4.467296
ZH-182,-5.992746,-3.2390862
ZH-184,-11.128736,-0.6735167
ZH-189,-2.1506896,13.851521
ZH-190,2.5542605,-10.142412
ZH-191,-2.9816382,4.3635573
ZH-192,-3.1381328,10.205834
ZH-193,-0.8724072,13.3333435
ZH-194,3.0173116,-12.883333
ZH-195,-8.0854645,-0.9831272
ZH-200,-4.6646357,13.779131
ZH-201,4.841748,2.2339356
ZH-202,4.4274163,3.1924217
ZH-206,-3.769796,-5.731881
ZH-208,-6.408025,3.1509166
ZH-211,-12.55395,-1.1921581
ZH-213,6.2783947,1.2444938
ZH-218,-3.0273862,13.71861
ZH-219,-9.047655,-6.792898
ZH-220,-2.5968564,7.8484826
ZH-222,-2.1531599,13.234048
ZH-224,-10.534001,-0.647915
ZH-226,-3.7715993,11.703115
ZH-227,5.2990527,1.3887362
ZH-228,-6.0838532,-6.365951
ZH-231,-2.8956091,2.8254883
ZH-232,3.2536583,-13.578567
ZH-234,-4.742405,8.017178
ZH-235,-4.4482884,6.891322
ZH-236,3.5351298,-13.746796
ZH-238,-3.4104824,13.197013
ZH-239,-9.626213,1.4053689
ZH-242,-11.643344,-2.2221658
ZH-243,8.882719,4.323149
ZH-244,-8.794861,-1.5669972
ZH-246,-0.35108662,-9.311913
ZH-254,-9.021566,-3.9664268
ZH-255,-3.841626,14.552391
ZH-257,-10.90711,0.10770843
ZH-258,9.533165,-2.4988077
ZH-259,-0.5527984,5.78082
