,TSNE 1,TSNE_2
ZH-143,-0.97260016,9.058317
ZH-149,-5.760951,-36.240097
ZH-151,15.922572,17.219366
ZH-154,-17.498348,-38.83161
ZH-155,-5.2833266,-1.7754319
ZH-163,0.2614006,11.960078
ZH-167,-4.733807,3.2588482
ZH-170,22.51806,15.723268
ZH-171,22.79993,15.468078
ZH-172,20.47524,20.371437
ZH-173,-17.501078,-41.113853
ZH-175,-6.527503,1.2680514
ZH-177,7.0763535,3.0409122
ZH-178,18.127155,16.542738
ZH-182,3.7016892,6.6335964
ZH-184,6.007043,12.554355
ZH-189,-5.2830777,-35.662582
ZH-190,-7.581916,-3.5213044
ZH-191,0.83113307,9.463275
ZH-192,18.788143,18.137457
ZH-193,19.56451,20.703562
ZH-195,9.22867,8.229578
ZH-200,-6.280645,-36.822365
ZH-201,-9.39279,-37.83952
ZH-202,2.5224442,11.883179
ZH-206,-18.531986,-38.2358
ZH-208,15.973118,16.042873
ZH-211,-14.985733,-40.241222
ZH-213,-11.818075,-38.408638
ZH-218,18.86737,19.424446
ZH-219,10.892428,8.152795
ZH-220,-9.491296,-37.03308
ZH-222,-5.921793,-34.7941
ZH-224,6.059245,14.133662
ZH-226,-6.2062063,-35.92447
ZH-227,-17.994085,-40.15103
ZH-228,-4.0591984,4.2569118
ZH-231,0.6347634,14.418429
ZH-232,-5.2487845,-34.92802
ZH-234,5.3293996,12.925182
ZH-235,5.9269695,14.344034
ZH-236,-5.032438,-35.104145
ZH-238,-7.6530123,-37.0658
ZH-239,18.253235,20.017117
ZH-242,9.109462,5.351696
ZH-243,14.810431,14.763727
ZH-244,6.5658827,13.464749
ZH-246,-8.411163,-3.7476485
ZH-254,15.2478895,16.264328
ZH-255,20.898537,20.262295
ZH-257,-10.182609,-37.90066
ZH-258,-17.180244,-40.309544
ZH-259,-12.3692255,-39.969105
